protein	n_obs	status	singular	messages	var_Run	var_Mixture	sigma2	acquisition	design	level	reference	structure	var_Run:ionID	var_Run:Channel
O00148	120	ok	FALSE		0.144982793515207	0.0199891939100241	0.00253368497570733	ms2	balanced	protein	drop	mixed	NA	NA
O00151	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.181160850574029	0	0.00248061964698853	ms2	balanced	protein	drop	mixed	NA	NA
O00154	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.212163077711226	2.93265816956699e-13	0.00238412062175351	ms2	balanced	protein	drop	mixed	NA	NA
O00159	120	ok	FALSE		0.0625700303058292	0.00326140728516132	0.00111365330562501	ms2	balanced	protein	drop	mixed	NA	NA
O00161	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.170225280903399	0	0.00607449868862866	ms2	balanced	protein	drop	mixed	NA	NA
O00170	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.100717485694021	1.06211782882896e-11	0.00275036416287474	ms2	balanced	protein	drop	mixed	NA	NA
O00186	120	ok	FALSE		0.230622698467599	5.0953030955007e-08	0.0106799792335309	ms2	balanced	protein	drop	mixed	NA	NA
O00193	120	ok	FALSE		1.35712397169256	0.181066418156565	0.00537252967575153	ms2	balanced	protein	drop	mixed	NA	NA
O00203	120	ok	FALSE		0.102232973370912	0.00137727365203718	0.00148948694540545	ms2	balanced	protein	drop	mixed	NA	NA
O00231	120	ok	FALSE		0.0548330698886567	0.0384911702590251	0.000874483614193187	ms2	balanced	protein	drop	mixed	NA	NA
O00232	120	ok	FALSE		0.146513932809206	0.0266760037838164	0.000838782938786891	ms2	balanced	protein	drop	mixed	NA	NA
O00233	120	ok	FALSE		0.355502254861514	1.67794631983926e-10	0.00728008052152878	ms2	balanced	protein	drop	mixed	NA	NA
O00264	120	ok	FALSE		0.454054830407468	0.0317959303217412	0.00335929499459568	ms2	balanced	protein	drop	mixed	NA	NA
O00267	120	ok	FALSE		0.411106060580699	0.0595939593433378	0.00382825493607805	ms2	balanced	protein	drop	mixed	NA	NA
O00273	120	ok	FALSE		0.180735661828297	0.356913255533126	0.00521266228561416	ms2	balanced	protein	drop	mixed	NA	NA
O00299	120	ok	FALSE		0.101339873404059	0.0325742836072998	0.00146990335130246	ms2	balanced	protein	drop	mixed	NA	NA
O00303	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.0611960554944338	0	0.000861330839617461	ms2	balanced	protein	drop	mixed	NA	NA
O00410	120	ok	FALSE		0.0315518823554402	0.0137240842979014	0.000428262130379949	ms2	balanced	protein	drop	mixed	NA	NA
O00411	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.13767623528393	0	0.0342509069433471	ms2	balanced	protein	drop	mixed	NA	NA
O00422	120	ok	FALSE		0.126849269649732	4.56659731142238e-10	0.0017317563322998	ms2	balanced	protein	drop	mixed	NA	NA
O00425	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.132492753759775	0	0.00225114747382867	ms2	balanced	protein	drop	mixed	NA	NA
O00429	120	ok	FALSE		0.079126216366319	0.00160677935134494	0.000691227728334997	ms2	balanced	protein	drop	mixed	NA	NA
O00442	120	ok	FALSE		0.257029585185467	0.0766132642676208	0.0263952738588308	ms2	balanced	protein	drop	mixed	NA	NA
O00461	120	ok	FALSE		0.445779115348873	0.136155978328799	0.0101490249712713	ms2	balanced	protein	drop	mixed	NA	NA
O00469	120	ok	FALSE		0.0400165219420226	0.00782859979359828	0.000854822163711738	ms2	balanced	protein	drop	mixed	NA	NA
O00483	120	ok	FALSE		0.12642400883253	0.0355349099938756	0.00143096924926173	ms2	balanced	protein	drop	mixed	NA	NA
O00487	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.524213459131731	3.29415253421985e-12	0.00578776021903803	ms2	balanced	protein	drop	mixed	NA	NA
O00499	120	ok	FALSE		0.207194219398668	0.00948868434558573	0.00563702855370603	ms2	balanced	protein	drop	mixed	NA	NA
O00505	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.592558715517765	1.03220116706757e-16	0.0139215103502656	ms2	balanced	protein	drop	mixed	NA	NA
O00541	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.0854349664441812	0	0.000969572211315823	ms2	balanced	protein	drop	mixed	NA	NA
O00566	120	ok	FALSE		0.474895212488498	9.99555277588971e-10	0.00779024301942399	ms2	balanced	protein	drop	mixed	NA	NA
O00567	120	ok	FALSE		0.0485115624438233	0.00237503492630142	0.000753239828425705	ms2	balanced	protein	drop	mixed	NA	NA
O00571	120	ok	FALSE		0.103888222653304	1.83942573966172e-10	0.00101938987133474	ms2	balanced	protein	drop	mixed	NA	NA
O00592	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.12556361581261	4.7474796343333e-13	0.00183711655897479	ms2	balanced	protein	drop	mixed	NA	NA
O00625	120	ok	FALSE		0.0932950993773683	0.00522043789125579	0.00122489987248117	ms2	balanced	protein	drop	mixed	NA	NA
O00629	120	ok	FALSE		0.114924684715742	0.0033143898461905	0.00654479274419488	ms2	balanced	protein	drop	mixed	NA	NA
O00743	120	ok	FALSE		0.859475834905622	0.0384320810377841	0.00825300562643852	ms2	balanced	protein	drop	mixed	NA	NA
O00762ups	120	ok	FALSE		0.114936491396361	0.0227513079042342	0.0215301017132729	ms2	balanced	protein	drop	mixed	NA	NA
O00764	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.138878804118099	3.28581919281389e-12	0.0030183122409771	ms2	balanced	protein	drop	mixed	NA	NA
O14562	120	ok	FALSE		1.72727079917341	0.552630011573582	0.019308414993208	ms2	balanced	protein	drop	mixed	NA	NA
O14579	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.396438878577349	0	0.00468672903107062	ms2	balanced	protein	drop	mixed	NA	NA
O14617	120	ok	FALSE		0.131512522969344	0.0557258851573953	0.00304315139307168	ms2	balanced	protein	drop	mixed	NA	NA
O14646	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.42148820050715	0	0.0293385042979579	ms2	balanced	protein	drop	mixed	NA	NA
O14656	120	ok	FALSE		0.633052665922391	0.0013738703582209	0.0210395884457344	ms2	balanced	protein	drop	mixed	NA	NA
O14684	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	2.41684527435798	0	0.0190831004886261	ms2	balanced	protein	drop	mixed	NA	NA
O14737	120	ok	FALSE		0.307158104062834	0.0178925780609758	0.00223180938761513	ms2	balanced	protein	drop	mixed	NA	NA
O14744	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.167004917453247	0	0.000876562130069977	ms2	balanced	protein	drop	mixed	NA	NA
O14745	120	ok	FALSE		0.0899348504077977	2.63042444577539e-11	0.00135586749529937	ms2	balanced	protein	drop	mixed	NA	NA
O14776	120	ok	FALSE		0.0325795416524851	0.00698644637191418	0.000853735870321431	ms2	balanced	protein	drop	mixed	NA	NA
O14818	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.0916577255426253	0	0.0014916795762687	ms2	balanced	protein	drop	mixed	NA	NA
O14828	120	ok	FALSE		0.342279008848342	0.289708011629265	0.00828985284471126	ms2	balanced	protein	drop	mixed	NA	NA
O14929	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.276595908714924	0	0.00129805212125215	ms2	balanced	protein	drop	mixed	NA	NA
O14936	120	ok	FALSE		1.05181244372743	0.397401891228983	0.0349133569942195	ms2	balanced	protein	drop	mixed	NA	NA
O14949	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.172769082363989	0	0.0014349185911425	ms2	balanced	protein	drop	mixed	NA	NA
O14964	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.575961234585872	0	0.00448841408975798	ms2	balanced	protein	drop	mixed	NA	NA
O14974	120	ok	FALSE		0.209994733365506	0.0227964831645544	0.00173406296009169	ms2	balanced	protein	drop	mixed	NA	NA
O14979	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.0602200580846904	0	0.00102335042016585	ms2	balanced	protein	drop	mixed	NA	NA
O14980	120	ok	FALSE		0.073092365077235	0.00500177341689815	0.000407303091433486	ms2	balanced	protein	drop	mixed	NA	NA
O15020	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.325527361586208	1.01146969152239e-12	0.00321386884304409	ms2	balanced	protein	drop	mixed	NA	NA
O15027	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.171807041489978	0	0.00240329148459814	ms2	balanced	protein	drop	mixed	NA	NA
O15031	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.214194844639739	0	0.00356434481963195	ms2	balanced	protein	drop	mixed	NA	NA
O15042	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.0602153152520183	0	0.00263920258569729	ms2	balanced	protein	drop	mixed	NA	NA
O15067	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.0380756339952338	0	0.000823109023204324	ms2	balanced	protein	drop	mixed	NA	NA
O15143	120	ok	FALSE		0.0537255210634923	0.0282381796462436	0.00164258164352428	ms2	balanced	protein	drop	mixed	NA	NA
O15144	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.178681385752378	0	0.000944597414375641	ms2	balanced	protein	drop	mixed	NA	NA
O15145	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.11372057319276	1.13143927222265e-12	0.00123346147841693	ms2	balanced	protein	drop	mixed	NA	NA
O15160	120	ok	FALSE		0.716233531298132	8.97427421742312e-11	0.00646201456973634	ms2	balanced	protein	drop	mixed	NA	NA
O15173	120	ok	FALSE		0.203587212080237	8.579965782203e-10	0.00212532352448386	ms2	balanced	protein	drop	mixed	NA	NA
O15212	120	ok	FALSE		0.20163001848465	2.6879922104421e-10	0.00177410273531536	ms2	balanced	protein	drop	mixed	NA	NA
O15226	120	ok	FALSE		0.633753014114459	0.0278251826850908	0.00633977416039651	ms2	balanced	protein	drop	mixed	NA	NA
O15228	120	ok	FALSE		0.492622871756142	0.0817010089669005	0.0318536498888492	ms2	balanced	protein	drop	mixed	NA	NA
O15260	120	ok	FALSE		0.153080367166949	0.109955209492842	0.00344527797114407	ms2	balanced	protein	drop	mixed	NA	NA
O15294	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.221558108669841	0	0.00985041288169442	ms2	balanced	protein	drop	mixed	NA	NA
O15305	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.737899221681005	0	0.00229730523881748	ms2	balanced	protein	drop	mixed	NA	NA
O15347	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.319852963025031	0	0.00230451139131699	ms2	balanced	protein	drop	mixed	NA	NA
O15355	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.0788639225825201	0	0.0010268405284805	ms2	balanced	protein	drop	mixed	NA	NA
O15371	120	ok	FALSE		0.0843639824141772	0.0720989665002221	0.0014177566639893	ms2	balanced	protein	drop	mixed	NA	NA
O15372	120	ok	FALSE		0.114126211927115	0.00344044288068413	0.00194612746628984	ms2	balanced	protein	drop	mixed	NA	NA
O15382	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.985117466850715	0	0.00884640673941023	ms2	balanced	protein	drop	mixed	NA	NA
O15397	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.7764330910814	0	0.00583677339203515	ms2	balanced	protein	drop	mixed	NA	NA
O15427	120	ok	FALSE		0.312673485535119	0.032082113603078	0.00188911254610574	ms2	balanced	protein	drop	mixed	NA	NA
O15460	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.0937625931450014	4.27214157111606e-13	0.00222987049104559	ms2	balanced	protein	drop	mixed	NA	NA
O15511	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.195257962516536	0	0.00169104155974183	ms2	balanced	protein	drop	mixed	NA	NA
O15533	120	ok	FALSE		0.211763977718592	0.143050859328918	0.0123210414634909	ms2	balanced	protein	drop	mixed	NA	NA
O43143	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.0391107103703502	0	0.000454377174098453	ms2	balanced	protein	drop	mixed	NA	NA
O43156	120	ok	FALSE		0.102820088245355	0.0624954464556667	0.0120066950031581	ms2	balanced	protein	drop	mixed	NA	NA
O43172	120	ok	FALSE		0.133454999259885	1.28821573470681e-10	0.00364152702461361	ms2	balanced	protein	drop	mixed	NA	NA
O43175	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.131470945983003	0	0.000729794343691431	ms2	balanced	protein	drop	mixed	NA	NA
O43242	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.0699956718741362	0	0.000717283456847071	ms2	balanced	protein	drop	mixed	NA	NA
O43252	120	ok	FALSE		0.0327278771716375	0.0199190579379143	0.00116411340817233	ms2	balanced	protein	drop	mixed	NA	NA
O43264	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.149259593230776	0	0.0116715593689843	ms2	balanced	protein	drop	mixed	NA	NA
O43290	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.133833518494427	0	0.0018407506231667	ms2	balanced	protein	drop	mixed	NA	NA
O43324	120	ok	FALSE		0.225732722307032	3.91225189560806e-11	0.00317365840249363	ms2	balanced	protein	drop	mixed	NA	NA
O43390	120	ok	FALSE		0.0897345588351468	0.0341370170016353	0.000878016927918015	ms2	balanced	protein	drop	mixed	NA	NA
O43395	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.15498121602864	0	0.00516591205007922	ms2	balanced	protein	drop	mixed	NA	NA
O43396	120	ok	FALSE		0.0258190974090848	0.0306661084544703	0.00143130553013849	ms2	balanced	protein	drop	mixed	NA	NA
O43399	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.36976190124839	0	0.00138173927723976	ms2	balanced	protein	drop	mixed	NA	NA
O43432	120	ok	FALSE		0.704456320414292	0.0372658422540659	0.00466291149593555	ms2	balanced	protein	drop	mixed	NA	NA
O43447	120	ok	FALSE		0.0659617831861012	0.0657636719031913	0.00212710700390915	ms2	balanced	protein	drop	mixed	NA	NA
O43488	120	ok	FALSE		0.119228452850826	0.0480769367468976	0.00487791429085362	ms2	balanced	protein	drop	mixed	NA	NA
O43491	120	ok	FALSE		0.0534879882484421	0.0209345242574187	0.00191939711847988	ms2	balanced	protein	drop	mixed	NA	NA
O43583	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.643488546999168	0	0.00241214844249613	ms2	balanced	protein	drop	mixed	NA	NA
O43592	120	ok	FALSE		0.112490814715481	0.00687343400314946	0.00300423589502099	ms2	balanced	protein	drop	mixed	NA	NA
O43598	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.77378804746472	6.36997773531005e-16	0.00962317636529937	ms2	balanced	protein	drop	mixed	NA	NA
O43615	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.135657417087521	0	0.00109791346971413	ms2	balanced	protein	drop	mixed	NA	NA
O43660	120	ok	FALSE		0.178984543475722	5.31740161342163e-11	0.00278994121258076	ms2	balanced	protein	drop	mixed	NA	NA
O43670	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.164933914121608	0	0.00645799072706797	ms2	balanced	protein	drop	mixed	NA	NA
O43674	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.346632442655753	0	0.00217482920048395	ms2	balanced	protein	drop	mixed	NA	NA
O43681	120	ok	FALSE		0.121650523153697	4.51379956162923e-08	0.00150992071073685	ms2	balanced	protein	drop	mixed	NA	NA
O43684	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.108110920335993	0	0.00121621370398448	ms2	balanced	protein	drop	mixed	NA	NA
O43707	120	ok	FALSE		0.0428938217930995	0.012871707630591	0.000237977371608337	ms2	balanced	protein	drop	mixed	NA	NA
O43709	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.454470440964542	0	0.00909261979299579	ms2	balanced	protein	drop	mixed	NA	NA
O43719	120	ok	FALSE		0.498396506624685	0.0341623681667581	0.00337002708302132	ms2	balanced	protein	drop	mixed	NA	NA
O43747	120	ok	FALSE		0.0519434627761526	0.092652942294395	0.00183464843049152	ms2	balanced	protein	drop	mixed	NA	NA
O43765	120	ok	FALSE		0.378872989125322	0.0115977666019583	0.0032903423991421	ms2	balanced	protein	drop	mixed	NA	NA
O43768	120	ok	FALSE		0.111333152591454	0.00546617276723147	0.0023241834997801	ms2	balanced	protein	drop	mixed	NA	NA
O43772	120	ok	FALSE		0.20939819240812	0.0553741026997545	0.00302911173357123	ms2	balanced	protein	drop	mixed	NA	NA
O43776	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.0620747895257185	0	0.000478038070646633	ms2	balanced	protein	drop	mixed	NA	NA
O43795	120	ok	FALSE		0.29277531887097	0.053796835475044	0.00419656384499748	ms2	balanced	protein	drop	mixed	NA	NA
O43809	120	ok	FALSE		0.228639126750294	0.00142547101960933	0.00176450220727801	ms2	balanced	protein	drop	mixed	NA	NA
O43813	120	ok	FALSE		0.0610201027631122	0.0101701101349187	0.00178485678934729	ms2	balanced	protein	drop	mixed	NA	NA
O43818	120	ok	FALSE		0.329367312803912	0.134853436866213	0.00670913142351628	ms2	balanced	protein	drop	mixed	NA	NA
O43823	120	ok	FALSE		0.431332253671842	0.0161981499386706	0.00419572194093419	ms2	balanced	protein	drop	mixed	NA	NA
O43837	120	ok	FALSE		0.148600773688436	0.0128396646178742	0.00193580431087626	ms2	balanced	protein	drop	mixed	NA	NA
O43847	120	ok	FALSE		0.0646596637043875	0.00187667874864804	0.000886317899331963	ms2	balanced	protein	drop	mixed	NA	NA
O43852	120	ok	FALSE		0.0869991662117548	0.0004161493205566	0.000842428400833147	ms2	balanced	protein	drop	mixed	NA	NA
O43854	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.116348336848701	0	0.00169762070469648	ms2	balanced	protein	drop	mixed	NA	NA
O43865	120	ok	FALSE		0.785195617102432	0.0644013546946729	0.00714495088485392	ms2	balanced	protein	drop	mixed	NA	NA
O43913	120	ok	FALSE		1.1303796826168	0.131345285412197	0.0197209348869459	ms2	balanced	protein	drop	mixed	NA	NA
O43920	120	ok	FALSE		0.209624325082573	0.026075577124942	0.00396407466339248	ms2	balanced	protein	drop	mixed	NA	NA
O43929	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.0129232447669	0	0.0224744379982144	ms2	balanced	protein	drop	mixed	NA	NA
O60216	120	ok	FALSE		0.27878386539629	0.0169055160403552	0.00354991533587128	ms2	balanced	protein	drop	mixed	NA	NA
O60231	120	ok	FALSE		0.621616532436521	0.0971536820556556	0.00998167258308874	ms2	balanced	protein	drop	mixed	NA	NA
O60256	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.257356286098223	0	0.00629933022853919	ms2	balanced	protein	drop	mixed	NA	NA
O60264	120	ok	FALSE		0.0419944393355726	0.00663452608461024	0.000875199416093529	ms2	balanced	protein	drop	mixed	NA	NA
O60271	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.347738964975411	0	0.00566787459149082	ms2	balanced	protein	drop	mixed	NA	NA
O60287	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.352527978936166	0	0.0314325101779142	ms2	balanced	protein	drop	mixed	NA	NA
O60313	120	ok	FALSE		0.180418657539535	0.11577375786511	0.00163462948669978	ms2	balanced	protein	drop	mixed	NA	NA
O60341	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.117333370408233	0	0.00563258127218112	ms2	balanced	protein	drop	mixed	NA	NA
O60427	120	ok	FALSE		0.130732100851927	0.0713316115445382	0.0023922042203266	ms2	balanced	protein	drop	mixed	NA	NA
O60437	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.19067981649038	2.49696041237442e-16	0.00308975575224035	ms2	balanced	protein	drop	mixed	NA	NA
O60488	120	ok	FALSE		0.0798122297817762	0.0839145357973507	0.00212495917544456	ms2	balanced	protein	drop	mixed	NA	NA
O60493	120	ok	FALSE		0.191586562667417	0.218891340424995	0.00337887687632219	ms2	balanced	protein	drop	mixed	NA	NA
O60502	120	ok	FALSE		0.129293927712547	0.0624835725773494	0.00534348071966422	ms2	balanced	protein	drop	mixed	NA	NA
O60506	120	ok	FALSE		0.0878121301420958	0.0182456775192061	0.000927150747844517	ms2	balanced	protein	drop	mixed	NA	NA
O60566	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.564372632469092	0	0.00760823297365807	ms2	balanced	protein	drop	mixed	NA	NA
O60568	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.0620321413645513	0	0.000767596093938878	ms2	balanced	protein	drop	mixed	NA	NA
O60573	120	ok	FALSE		0.0403445253884105	0.0194857815158185	0.0140694996760606	ms2	balanced	protein	drop	mixed	NA	NA
O60610	120	ok	FALSE		0.171320548204102	2.54330183947777e-11	0.00154668124284229	ms2	balanced	protein	drop	mixed	NA	NA
O60664	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.0403609061426394	0	0.000993925505665526	ms2	balanced	protein	drop	mixed	NA	NA
O60678	120	ok	FALSE		0.159513614738048	0.0268280295731968	0.00459079692060329	ms2	balanced	protein	drop	mixed	NA	NA
O60684	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.324063726426038	0	0.00359672477881451	ms2	balanced	protein	drop	mixed	NA	NA
O60701	120	ok	FALSE		0.0321771552065463	0.00647381895406335	0.000764990903231687	ms2	balanced	protein	drop	mixed	NA	NA
O60716	120	ok	FALSE		0.151504668623967	7.19174493043639e-09	0.00308102492884623	ms2	balanced	protein	drop	mixed	NA	NA
O60725	120	ok	FALSE		0.279157087534944	3.79059043564879e-09	0.0150186912528473	ms2	balanced	protein	drop	mixed	NA	NA
O60749	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.170877480944881	0	0.00430927066290145	ms2	balanced	protein	drop	mixed	NA	NA
O60762	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.135551337059985	0	0.0028554948072306	ms2	balanced	protein	drop	mixed	NA	NA
O60763	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.110787883119312	0	0.00227577672034347	ms2	balanced	protein	drop	mixed	NA	NA
O60828	120	ok	FALSE		0.691945659045783	0.0547563553976387	0.0057777016268099	ms2	balanced	protein	drop	mixed	NA	NA
O60832	120	ok	FALSE		0.18187869080103	0.00175437952226745	0.000976546258241206	ms2	balanced	protein	drop	mixed	NA	NA
O60841	120	ok	FALSE		0.0698517890827988	0.0257372437700277	0.000619105673037854	ms2	balanced	protein	drop	mixed	NA	NA
O60869	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.180417888347918	0	0.0030919947129638	ms2	balanced	protein	drop	mixed	NA	NA
O60884	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.0943179403133347	0	0.00132921614384998	ms2	balanced	protein	drop	mixed	NA	NA
O60888	120	ok	FALSE		0.252203073102665	0.0287761418843527	0.00547599182961554	ms2	balanced	protein	drop	mixed	NA	NA
O60925	120	ok	FALSE		0.373428906374214	0.0519819251655911	0.00433380506670392	ms2	balanced	protein	drop	mixed	NA	NA
O75027	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.4134081856662	0	0.00467769676843066	ms2	balanced	protein	drop	mixed	NA	NA
O75083	120	ok	FALSE		0.0922585458296059	0.00662933153128217	0.000691200458211424	ms2	balanced	protein	drop	mixed	NA	NA
O75116	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.0595186582297937	0	0.000910340614066789	ms2	balanced	protein	drop	mixed	NA	NA
O75131	120	ok	FALSE		0.0567913329551816	0.0290445284134233	0.00099132016614839	ms2	balanced	protein	drop	mixed	NA	NA
O75150	120	ok	FALSE		0.74105830059092	0.106565819200339	0.00771233226685766	ms2	balanced	protein	drop	mixed	NA	NA
O75153	120	ok	FALSE		0.0890159204345386	0.0428464089475431	0.00322459136657769	ms2	balanced	protein	drop	mixed	NA	NA
O75223	120	ok	FALSE		0.103596789878227	0.00779067707641228	0.00166924197816955	ms2	balanced	protein	drop	mixed	NA	NA
O75251	120	ok	FALSE		2.14977391541493	0.195452197813077	0.0204885360036099	ms2	balanced	protein	drop	mixed	NA	NA
O75306	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.594741938461367	0	0.00762321901850294	ms2	balanced	protein	drop	mixed	NA	NA
O75340	120	ok	FALSE		0.129264240093467	1.91218806620097e-08	0.001296323622688	ms2	balanced	protein	drop	mixed	NA	NA
O75347	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.211602001634267	3.43831827095875e-12	0.00164485052597323	ms2	balanced	protein	drop	mixed	NA	NA
O75348	120	ok	FALSE		0.121872835409624	0.0228684343584789	0.00732593156499242	ms2	balanced	protein	drop	mixed	NA	NA
O75351	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.60367036379357	1.9002909724989e-16	0.00903326328674422	ms2	balanced	protein	drop	mixed	NA	NA
O75352	120	ok	FALSE		0.510489825485878	0.005370578642692	0.00884550663846656	ms2	balanced	protein	drop	mixed	NA	NA
O75367	120	ok	FALSE		0.0613240768156448	0.0188645613754247	0.000793756384454754	ms2	balanced	protein	drop	mixed	NA	NA
O75368	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.0770326142887347	0	0.00206381963267511	ms2	balanced	protein	drop	mixed	NA	NA
O75369	120	ok	FALSE		0.0200169926047191	0.00951032032910608	0.000235187145267198	ms2	balanced	protein	drop	mixed	NA	NA
O75390	120	ok	FALSE		0.040639930967622	0.0143256947270522	0.000858735810396011	ms2	balanced	protein	drop	mixed	NA	NA
O75396	120	ok	FALSE		0.0484825587889177	0.0383615026684789	0.0010819429076857	ms2	balanced	protein	drop	mixed	NA	NA
