sample	dim1	dim2	Run	Channel	Condition	Mixture	TechRepMixture	BioReplicate	Fraction	run_short	mixture_short	runCol	quantCols	dataset	n_complete_proteins	var_explained_dim1	var_explained_dim2
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..128C	0.683537446386372	-5.74745201182252	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	128C	1	Mixture1	2	1	1	Mixture1_02	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	Abundance..128C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..128N	0.816474978137966	-5.70333637937082	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	128N	0.5	Mixture1	2	0.5	1	Mixture1_02	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	Abundance..128N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..129C	0.691172867461364	-5.66458059008671	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	129C	0.5	Mixture1	2	0.5	1	Mixture1_02	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	Abundance..129C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..129N	0.606058798337357	-5.46717122331489	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	129N	0.125	Mixture1	2	0.125	1	Mixture1_02	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	Abundance..129N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..130C	0.928794019927143	-5.64781080039536	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	130C	0.667	Mixture1	2	0.667	1	Mixture1_02	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	Abundance..130C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..130N	0.695914212589117	-5.66931862778798	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	130N	1	Mixture1	2	1	1	Mixture1_02	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	Abundance..130N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw_Abundance..127C	5.78834842806582	0.426133335884713	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw	127C	0.125	Mixture1	3	0.125	1	Mixture1_03	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw	Abundance..127C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw_Abundance..127N	5.78678395407562	0.231550209445809	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw	127N	0.667	Mixture1	3	0.667	1	Mixture1_03	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw	Abundance..127N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw_Abundance..128C	5.66990075811241	0.271530108505607	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw	128C	1	Mixture1	3	1	1	Mixture1_03	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw	Abundance..128C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw_Abundance..128N	5.72693603942088	0.396058772448854	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw	128N	0.5	Mixture1	3	0.5	1	Mixture1_03	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw	Abundance..128N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw_Abundance..129C	5.80678571455666	0.503548991700069	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw	129C	0.5	Mixture1	3	0.5	1	Mixture1_03	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw	Abundance..129C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw_Abundance..129N	5.52687908636489	0.423305494126602	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw	129N	0.125	Mixture1	3	0.125	1	Mixture1_03	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw	Abundance..129N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw_Abundance..130C	5.69810125230772	0.19621932530794	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw	130C	0.667	Mixture1	3	0.667	1	Mixture1_03	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw	Abundance..130C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw_Abundance..130N	5.77579037151609	0.277345623437989	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw	130N	1	Mixture1	3	1	1	Mixture1_03	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw	Abundance..130N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw_Abundance..127C	-0.786718809640567	4.03623782247514	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw	127C	1	Mixture2	1	1	1	Mixture2_01	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw	Abundance..127C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw_Abundance..127N	-0.643840810486837	4.02946100283293	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw	127N	0.5	Mixture2	1	0.5	1	Mixture2_01	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw	Abundance..127N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw_Abundance..128C	-0.560141092986104	3.84356911994834	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw	128C	0.125	Mixture2	1	0.125	1	Mixture2_01	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw	Abundance..128C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw_Abundance..128N	-0.64670316085318	3.94501002618264	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw	128N	0.667	Mixture2	1	0.667	1	Mixture2_01	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw	Abundance..128N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw_Abundance..129C	-0.672660468181462	3.93203802210464	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw	129C	0.667	Mixture2	1	0.667	1	Mixture2_01	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw	Abundance..129C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw_Abundance..129N	-0.631894147423845	3.83605840377708	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw	129N	1	Mixture2	1	1	1	Mixture2_01	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw	Abundance..129N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw_Abundance..130C	-0.724466910833065	3.68775919258528	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw	130C	0.5	Mixture2	1	0.5	1	Mixture2_01	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw	Abundance..130C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw_Abundance..130N	-0.522154574414622	3.86862406618246	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw	130N	0.125	Mixture2	1	0.125	1	Mixture2_01	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_01.raw	Abundance..130N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw_Abundance..127C	-22.1360025499773	-6.67110059724051	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw	127C	1	Mixture2	2	1	1	Mixture2_02	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw	Abundance..127C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw_Abundance..127N	-22.4897884507566	-6.58762075765608	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw	127N	0.5	Mixture2	2	0.5	1	Mixture2_02	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw	Abundance..127N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw_Abundance..128C	-22.1829948534928	-6.4137281172815	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw	128C	0.125	Mixture2	2	0.125	1	Mixture2_02	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw	Abundance..128C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw_Abundance..128N	-22.0227913719536	-6.44154563160845	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw	128N	0.667	Mixture2	2	0.667	1	Mixture2_02	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw	Abundance..128N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw_Abundance..129C	-22.2683498121492	-6.47929212257166	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw	129C	0.667	Mixture2	2	0.667	1	Mixture2_02	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw	Abundance..129C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw_Abundance..129N	-22.1584517925706	-6.54331130077803	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw	129N	1	Mixture2	2	1	1	Mixture2_02	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw	Abundance..129N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw_Abundance..130C	-22.2412525258207	-6.6146509141353	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw	130C	0.5	Mixture2	2	0.5	1	Mixture2_02	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw	Abundance..130C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw_Abundance..130N	-22.2208632860667	-6.50336728354376	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw	130N	0.125	Mixture2	2	0.125	1	Mixture2_02	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_02.raw	Abundance..130N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw_Abundance..127C	1.8995872556811	22.6663872194868	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw	127C	1	Mixture2	3	1	1	Mixture2_03	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw	Abundance..127C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw_Abundance..127N	1.84847225709486	22.6279444355809	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw	127N	0.5	Mixture2	3	0.5	1	Mixture2_03	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw	Abundance..127N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw_Abundance..128C	1.59493414257292	22.7210793331856	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw	128C	0.125	Mixture2	3	0.125	1	Mixture2_03	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw	Abundance..128C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw_Abundance..128N	1.82028202695054	22.6253633932576	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw	128N	0.667	Mixture2	3	0.667	1	Mixture2_03	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw	Abundance..128N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw_Abundance..129C	1.79665011297586	22.5656471769512	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw	129C	0.667	Mixture2	3	0.667	1	Mixture2_03	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw	Abundance..129C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw_Abundance..129N	1.50413570403742	22.1278862405448	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw	129N	1	Mixture2	3	1	1	Mixture2_03	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw	Abundance..129N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw_Abundance..130C	1.54543211236217	22.4939598739136	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw	130C	0.5	Mixture2	3	0.5	1	Mixture2_03	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw	Abundance..130C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw_Abundance..130N	1.90936237799375	22.6476671301094	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw	130N	0.125	Mixture2	3	0.125	1	Mixture2_03	Mixture2	161122_SILAC_HeLa_UPS1_TMT10_Mixture2_03.raw	Abundance..130N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw_Abundance..127C	0.887862127428512	0.577891000262244	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw	127C	0.667	Mixture3	1	0.667	1	Mixture3_01	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw	Abundance..127C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw_Abundance..127N	0.74976254634821	0.70282475056139	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw	127N	0.125	Mixture3	1	0.125	1	Mixture3_01	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw	Abundance..127N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw_Abundance..128C	0.876272817623361	0.641050113273898	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw	128C	0.5	Mixture3	1	0.5	1	Mixture3_01	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw	Abundance..128C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw_Abundance..128N	0.83990524687598	0.694071371593607	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw	128N	1	Mixture3	1	1	1	Mixture3_01	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw	Abundance..128N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw_Abundance..129C	0.829024207481843	0.726233330732952	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw	129C	0.125	Mixture3	1	0.125	1	Mixture3_01	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw	Abundance..129C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw_Abundance..129N	0.553793677150368	0.547483409628885	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw	129N	0.5	Mixture3	1	0.5	1	Mixture3_01	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw	Abundance..129N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw_Abundance..130C	0.916164108444501	0.567582367667013	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw	130C	1	Mixture3	1	1	1	Mixture3_01	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw	Abundance..130C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw_Abundance..130N	0.820692680955977	0.652542485667533	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw	130N	0.667	Mixture3	1	0.667	1	Mixture3_01	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_01.raw	Abundance..130N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw_Abundance..127C	3.71436835672228	3.9893763995276	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw	127C	0.667	Mixture3	2	0.667	1	Mixture3_02	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw	Abundance..127C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw_Abundance..127N	3.56842331923933	3.84859336735339	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw	127N	0.125	Mixture3	2	0.125	1	Mixture3_02	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw	Abundance..127N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw_Abundance..128C	3.61959608432579	3.79369685035628	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw	128C	0.5	Mixture3	2	0.5	1	Mixture3_02	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw	Abundance..128C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw_Abundance..128N	3.67359475031342	4.27660786996897	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw	128N	1	Mixture3	2	1	1	Mixture3_02	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw	Abundance..128N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw_Abundance..129C	3.6551253325985	3.87244905711217	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw	129C	0.125	Mixture3	2	0.125	1	Mixture3_02	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw	Abundance..129C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw_Abundance..129N	3.39010666168544	3.86171211819005	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw	129N	0.5	Mixture3	2	0.5	1	Mixture3_02	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw	Abundance..129N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw_Abundance..130C	3.50813769157015	3.8770663459145	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw	130C	1	Mixture3	2	1	1	Mixture3_02	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw	Abundance..130C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw_Abundance..130N	3.57058569623268	3.93834740801833	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw	130N	0.667	Mixture3	2	0.667	1	Mixture3_02	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_02.raw	Abundance..130N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_03.raw_Abundance..127C	-0.677276054486855	1.00394860314103	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_03.raw	127C	0.667	Mixture3	3	0.667	1	Mixture3_03	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_03.raw	Abundance..127C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_03.raw_Abundance..127N	-0.467655472290374	1.22363623137745	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_03.raw	127N	0.125	Mixture3	3	0.125	1	Mixture3_03	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_03.raw	Abundance..127N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_03.raw_Abundance..128C	-0.524829527510537	1.16560281579469	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_03.raw	128C	0.5	Mixture3	3	0.5	1	Mixture3_03	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_03.raw	Abundance..128C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_03.raw_Abundance..128N	-0.511839559170585	0.991134483397054	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_03.raw	128N	1	Mixture3	3	1	1	Mixture3_03	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_03.raw	Abundance..128N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture3_03.raw_Abundance..129C	-0.560961375211826	1.03616216918366	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_03.raw	129C	0.125	Mixture3	3	0.125	1	Mixture3_03	Mixture3	161122_SILAC_HeLa_UPS1_TMT10_Mixture3_03.raw	Abundance..129C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
